date,ticker,price
2023-07-28,MAGN_RU0009084396,53.04
2023-07-27,MAGN_RU0009084396,53.21
2023-07-26,MAGN_RU0009084396,52.29
2023-07-25,MAGN_RU0009084396,52.595
2023-07-24,MAGN_RU0009084396,52.28
2023-07-21,MAGN_RU0009084396,51.755
2023-07-20,MAGN_RU0009084396,50.925
2023-07-19,MAGN_RU0009084396,51.27
2023-07-18,MAGN_RU0009084396,51.925
2023-07-17,MAGN_RU0009084396,51.39
2023-07-14,MAGN_RU0009084396,50.77
2023-07-13,MAGN_RU0009084396,49.44
2023-07-12,MAGN_RU0009084396,49.725
2023-07-11,MAGN_RU0009084396,48.265
2023-07-10,MAGN_RU0009084396,48.265
2023-07-07,MAGN_RU0009084396,47.555
2023-07-06,MAGN_RU0009084396,47.46
2023-07-05,MAGN_RU0009084396,47.635
2023-07-04,MAGN_RU0009084396,47.39
2023-07-03,MAGN_RU0009084396,47.57
2023-06-30,MAGN_RU0009084396,47.41
2023-06-29,MAGN_RU0009084396,46.64
2023-06-28,MAGN_RU0009084396,46.205
2023-06-27,MAGN_RU0009084396,47.17
2023-06-26,MAGN_RU0009084396,44.925
2023-06-23,MAGN_RU0009084396,44.745
2023-06-22,MAGN_RU0009084396,45.92
2023-06-21,MAGN_RU0009084396,46.58
2023-06-20,MAGN_RU0009084396,45.52
2023-06-19,MAGN_RU0009084396,46.25
2023-06-16,MAGN_RU0009084396,44.04
2023-06-15,MAGN_RU0009084396,43.885
2023-06-14,MAGN_RU0009084396,43.165
2023-06-13,MAGN_RU0009084396,42.895
2023-06-09,MAGN_RU0009084396,41.035
2023-06-08,MAGN_RU0009084396,41.165
2023-06-07,MAGN_RU0009084396,41.145
2023-06-06,MAGN_RU0009084396,41.15
2023-06-05,MAGN_RU0009084396,40.39
2023-06-02,MAGN_RU0009084396,41.365
2023-06-01,MAGN_RU0009084396,40.725
2023-05-31,MAGN_RU0009084396,40.67
2023-05-30,MAGN_RU0009084396,40.705
2023-05-29,MAGN_RU0009084396,40.82
2023-05-26,MAGN_RU0009084396,39.76
2023-05-25,MAGN_RU0009084396,39.89
2023-05-24,MAGN_RU0009084396,39.51
2023-05-23,MAGN_RU0009084396,39.12
2023-05-22,MAGN_RU0009084396,39.325
2023-05-19,MAGN_RU0009084396,39.265
2023-05-18,MAGN_RU0009084396,39.42
2023-05-17,MAGN_RU0009084396,39.63
2023-05-16,MAGN_RU0009084396,40.15
2023-05-15,MAGN_RU0009084396,39.835
2023-05-12,MAGN_RU0009084396,38.925
2023-05-11,MAGN_RU0009084396,38.645
2023-05-10,MAGN_RU0009084396,39.205
2023-05-08,MAGN_RU0009084396,38.235
2023-05-05,MAGN_RU0009084396,37.915
2023-05-04,MAGN_RU0009084396,38.21
2023-05-03,MAGN_RU0009084396,38.105
2023-05-02,MAGN_RU0009084396,38.555
2023-04-28,MAGN_RU0009084396,39.61
2023-04-27,MAGN_RU0009084396,39.98
2023-04-26,MAGN_RU0009084396,40.145
2023-04-25,MAGN_RU0009084396,40.865
