<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26222RMFS8,D,06/04/21,000000,102.949,102.99,102.125,102.402,268.444
SU26222RMFS8,D,07/04/21,000000,102.733,102.733,101.997,102.268,40.326
SU26222RMFS8,D,08/04/21,000000,102.27,102.27,102.01,102.16,234.415
SU26222RMFS8,D,09/04/21,000000,103.1,103.158,101.9,102.05,47.557
SU26222RMFS8,D,12/04/21,000000,103.157,103.157,101.601,102.028,31.908
SU26222RMFS8,D,13/04/21,000000,102.029,102.117,101.862,102.1,458.005
SU26222RMFS8,D,14/04/21,000000,102.358,102.798,102.358,102.6,127.272
SU26222RMFS8,D,15/04/21,000000,102.6,102.798,101.873,102.497,71.525
SU26222RMFS8,D,16/04/21,000000,102.27,103.04,102.27,102.849,241.906
SU26222RMFS8,D,19/04/21,000000,102.85,103.163,102.6,102.699,326.271
SU26222RMFS8,D,20/04/21,000000,102.699,102.992,102.52,102.559,31.960
SU26222RMFS8,D,21/04/21,000000,102.79,102.79,102.42,102.65,11.290
SU26222RMFS8,D,22/04/21,000000,102.671,102.877,102.498,102.75,350.161
SU26222RMFS8,D,23/04/21,000000,102.853,103,102.28,102.798,1.302.343
SU26222RMFS8,D,26/04/21,000000,102.799,102.9,102.649,102.7,2.757.725
SU26222RMFS8,D,27/04/21,000000,102.938,102.938,102.552,102.699,1.135.093
SU26222RMFS8,D,28/04/21,000000,103.738,103.738,102.575,102.7,921.869
SU26222RMFS8,D,29/04/21,000000,103.196,103.2,102.601,102.749,344.742
SU26222RMFS8,D,30/04/21,000000,103.19,103.197,102.601,102.78,12.271
SU26222RMFS8,D,04/05/21,000000,102.799,102.84,102.75,102.839,8.190
SU26222RMFS8,D,05/05/21,000000,102.839,102.926,102.68,102.77,325.015
SU26222RMFS8,D,06/05/21,000000,102.77,103,102.6,102.78,7.934
SU26222RMFS8,D,07/05/21,000000,102.506,102.997,102.506,102.786,1.883
SU26222RMFS8,D,10/05/21,000000,104.341,104.341,102.851,102.94,2.243
SU26222RMFS8,D,11/05/21,000000,103.199,103.199,102.56,102.649,969.636
SU26222RMFS8,D,12/05/21,000000,102.5,103.2,102.452,102.54,775.337
SU26222RMFS8,D,13/05/21,000000,102.65,102.652,102.302,102.499,548.609
SU26222RMFS8,D,14/05/21,000000,103.199,103.199,102.405,102.615,16.614
SU26222RMFS8,D,17/05/21,000000,102.986,102.986,102.406,102.628,7.203
SU26222RMFS8,D,18/05/21,000000,102.977,102.977,102.511,102.597,19.653
SU26222RMFS8,D,19/05/21,000000,103.089,103.089,102.462,102.54,9.541
SU26222RMFS8,D,20/05/21,000000,102.365,102.845,102.205,102.6,218.138
SU26222RMFS8,D,21/05/21,000000,102.6,102.6,102.45,102.558,33.230
