<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SU26230RMFS1,D,25/03/21,000000,105.599,106.3,104.853,105.665,1.046.087
SU26230RMFS1,D,26/03/21,000000,105.78,106.75,105.779,106.748,1.629.028
SU26230RMFS1,D,29/03/21,000000,106.9,107.403,106.471,106.751,51.227
SU26230RMFS1,D,30/03/21,000000,106.661,106.91,105.6,105.88,1.112.184
SU26230RMFS1,D,31/03/21,000000,105.609,106.5,105.608,106.304,1.158.753
SU26230RMFS1,D,01/04/21,000000,106.902,106.902,105.752,105.85,598.048
SU26230RMFS1,D,02/04/21,000000,106.386,106.387,105.851,105.9,87.276
SU26230RMFS1,D,05/04/21,000000,106.385,106.385,105.81,105.817,53.143
SU26230RMFS1,D,06/04/21,000000,105.9,106.15,104.801,104.992,1.212.101
SU26230RMFS1,D,07/04/21,000000,105.299,105.299,104,104.569,883.537
SU26230RMFS1,D,08/04/21,000000,104.567,104.76,104.31,104.401,515.601
SU26230RMFS1,D,09/04/21,000000,104.729,104.729,103.85,104.162,878.114
SU26230RMFS1,D,12/04/21,000000,104.002,104.7,104,104.498,308.627
SU26230RMFS1,D,13/04/21,000000,104.284,105,104.222,105,984.591
SU26230RMFS1,D,14/04/21,000000,105.245,106.503,105.245,106.5,3.024.380
SU26230RMFS1,D,15/04/21,000000,104.155,106.299,103.85,105.999,2.191.631
SU26230RMFS1,D,16/04/21,000000,106.086,107.5,105.801,106.972,1.086.942
SU26230RMFS1,D,19/04/21,000000,107.367,107.367,105.852,106.17,311.690
SU26230RMFS1,D,20/04/21,000000,106.037,106.698,105.506,106.101,300.592
SU26230RMFS1,D,21/04/21,000000,105.97,106.49,105.933,106.3,660.185
SU26230RMFS1,D,22/04/21,000000,106.489,107.3,106.001,107.054,1.408.169
SU26230RMFS1,D,23/04/21,000000,106.731,107.405,106.349,107,600.293
SU26230RMFS1,D,26/04/21,000000,107.499,107.499,106.818,107.071,198.261
SU26230RMFS1,D,27/04/21,000000,106.701,107.45,106.487,106.586,481.732
SU26230RMFS1,D,28/04/21,000000,106.994,106.994,106.101,106.349,836.353
SU26230RMFS1,D,29/04/21,000000,106.55,106.695,106.05,106.12,756.179
SU26230RMFS1,D,30/04/21,000000,106.067,106.3,105.714,106.002,68.226
SU26230RMFS1,D,04/05/21,000000,106.7,106.7,105.96,106.314,95.559
SU26230RMFS1,D,05/05/21,000000,106.665,106.665,106.231,106.592,36.678
SU26230RMFS1,D,06/05/21,000000,106.503,106.77,106.401,106.648,4.994
SU26230RMFS1,D,07/05/21,000000,106.75,106.75,106.102,106.424,105.105
SU26230RMFS1,D,10/05/21,000000,106.9,106.9,105.901,106.644,12.528
SU26230RMFS1,D,11/05/21,000000,106.5,106.649,106,106.068,965.781
SU26230RMFS1,D,12/05/21,000000,106.643,106.643,105.401,105.499,1.101.531
SU26230RMFS1,D,13/05/21,000000,106.238,106.238,104.751,105.2,338.549
SU26230RMFS1,D,14/05/21,000000,105.7,105.895,104.914,105.7,14.712
SU26230RMFS1,D,17/05/21,000000,105.503,106.179,105.482,105.599,33.257
SU26230RMFS1,D,18/05/21,000000,105.599,105.739,105.171,105.499,538.633
SU26230RMFS1,D,19/05/21,000000,105.003,105.48,105.002,105.35,1.665.924
SU26230RMFS1,D,20/05/21,000000,105.48,105.89,105.1,105.7,121.570
SU26230RMFS1,D,21/05/21,000000,105.316,105.888,105.316,105.748,8.363
SU26230RMFS1,D,24/05/21,000000,105.616,105.718,105.541,105.55,62.815
SU26230RMFS1,D,25/05/21,000000,105.688,105.688,105.323,105.45,16.777
SU26230RMFS1,D,26/05/21,000000,105.499,105.9,105.4,105.844,227.950
SU26230RMFS1,D,27/05/21,000000,105.844,105.938,105.454,105.882,42.541
SU26230RMFS1,D,28/05/21,000000,105.883,106.089,105.501,105.735,20.298
SU26230RMFS1,D,31/05/21,000000,105.83,105.83,105.374,105.629,31.441
SU26230RMFS1,D,01/06/21,000000,105.83,106.168,105.37,105.552,112.978
SU26230RMFS1,D,02/06/21,000000,105.404,105.77,105.4,105.507,210.618
SU26230RMFS1,D,03/06/21,000000,105.379,105.885,105.303,105.498,92.299
SU26230RMFS1,D,04/06/21,000000,105.788,105.788,105.101,105.429,197.432
SU26230RMFS1,D,07/06/21,000000,105.173,105.495,104.9,105.021,806.578
SU26230RMFS1,D,08/06/21,000000,105.459,105.459,104.26,104.45,218.912
SU26230RMFS1,D,09/06/21,000000,104.627,104.839,104.04,104.699,1.070.117
SU26230RMFS1,D,10/06/21,000000,104.706,105.2,104.037,105.1,1.114.677
SU26230RMFS1,D,11/06/21,000000,104.501,106.001,104.499,105.799,497.611
SU26230RMFS1,D,14/06/21,000000,105.9,105.94,105.602,105.818,3.656
SU26230RMFS1,D,15/06/21,000000,105.905,105.937,105.097,105.249,24.747
SU26230RMFS1,D,16/06/21,000000,105.459,105.604,105.05,105.499,494.059
SU26230RMFS1,D,17/06/21,000000,105.605,106.2,105.005,105.924,951.054
SU26230RMFS1,D,18/06/21,000000,106.205,106.696,105.61,106.404,1.043.095
SU26230RMFS1,D,21/06/21,000000,106.698,106.698,106.059,106.311,125.401
SU26230RMFS1,D,22/06/21,000000,106.103,106.494,105.952,105.953,49.210
SU26230RMFS1,D,23/06/21,000000,105.951,106.373,105.832,106.137,179.165
SU26230RMFS1,D,24/06/21,000000,105.953,106.9,105.953,106.51,225.311
SU26230RMFS1,D,25/06/21,000000,106.843,106.843,106.255,106.3,233.090
SU26230RMFS1,D,28/06/21,000000,106.903,106.903,105.952,106,316.377
SU26230RMFS1,D,29/06/21,000000,105.953,106.1,105.45,105.651,228.267
SU26230RMFS1,D,30/06/21,000000,105.67,106.005,105.351,105.85,652.628
SU26230RMFS1,D,01/07/21,000000,106.055,106.504,105.6,105.849,764.735
SU26230RMFS1,D,02/07/21,000000,105.603,105.988,105.502,105.765,13.420
SU26230RMFS1,D,05/07/21,000000,105.676,106.089,105.584,105.79,122.007
SU26230RMFS1,D,06/07/21,000000,105.503,106.085,105.503,105.622,90.781
SU26230RMFS1,D,07/07/21,000000,105.879,105.879,105.4,105.4,1.245.051
SU26230RMFS1,D,08/07/21,000000,105.351,105.498,105.111,105.252,95.022
SU26230RMFS1,D,09/07/21,000000,105.251,105.746,105.25,105.45,64.285
SU26230RMFS1,D,12/07/21,000000,105.25,105.544,105.1,105.3,176.630
SU26230RMFS1,D,13/07/21,000000,105.547,105.547,105.05,105.211,852.118
SU26230RMFS1,D,14/07/21,000000,105.4,105.4,105.101,105.21,696.126
SU26230RMFS1,D,15/07/21,000000,105.22,105.54,105.07,105.29,72.250
SU26230RMFS1,D,16/07/21,000000,105.392,105.393,105.002,105.053,147.907
SU26230RMFS1,D,19/07/21,000000,105.393,105.393,104.802,104.999,27.934
SU26230RMFS1,D,20/07/21,000000,104.969,105.39,104.802,105.252,241.396
SU26230RMFS1,D,21/07/21,000000,105.202,106.045,104.7,105.82,68.386
SU26230RMFS1,D,22/07/21,000000,105.501,107,105.501,106.812,803.409
SU26230RMFS1,D,23/07/21,000000,107.005,107.3,106.354,107.01,2.424.143
SU26230RMFS1,D,26/07/21,000000,106.503,107.35,106.503,107.34,287.932
SU26230RMFS1,D,27/07/21,000000,107.01,107.589,106.525,107.36,44.206
SU26230RMFS1,D,28/07/21,000000,107.454,107.9,107.191,107.452,227.675
SU26230RMFS1,D,29/07/21,000000,107.589,107.94,107.512,107.551,490.619
SU26230RMFS1,D,30/07/21,000000,107.1,108.032,107.041,107.81,242.541
SU26230RMFS1,D,02/08/21,000000,108.032,108.054,107.1,107.328,472.513
SU26230RMFS1,D,03/08/21,000000,107.498,107.797,107.011,107.1,2.334.295
SU26230RMFS1,D,04/08/21,000000,107.268,107.27,106.951,106.953,1.362.250
SU26230RMFS1,D,05/08/21,000000,106.902,107.297,106.703,106.979,273.420
SU26230RMFS1,D,06/08/21,000000,106.98,107.294,106.85,106.85,135.286
SU26230RMFS1,D,09/08/21,000000,106.87,106.87,106.101,106.5,191.825
SU26230RMFS1,D,10/08/21,000000,106.5,106.548,106.202,106.251,183.985
SU26230RMFS1,D,11/08/21,000000,106.347,106.498,105.861,106.189,223.596
SU26230RMFS1,D,12/08/21,000000,106.221,106.491,106.001,106.011,34.528
SU26230RMFS1,D,13/08/21,000000,106.18,106.29,106.003,106.113,19.428
SU26230RMFS1,D,16/08/21,000000,106.11,106.797,106.107,106.65,1.392.121
SU26230RMFS1,D,17/08/21,000000,106.65,106.898,106.156,106.501,403.229
SU26230RMFS1,D,18/08/21,000000,106.501,106.896,106.33,106.45,1.349.428
SU26230RMFS1,D,19/08/21,000000,106.9,106.9,105.857,105.901,574.100
SU26230RMFS1,D,20/08/21,000000,106.371,106.371,105.8,105.924,51.928
SU26230RMFS1,D,23/08/21,000000,105.814,106.199,105.75,105.762,69.384
SU26230RMFS1,D,24/08/21,000000,105.753,106.692,105.651,105.754,103.049
SU26230RMFS1,D,25/08/21,000000,105.756,105.89,105.352,105.501,983.827
SU26230RMFS1,D,26/08/21,000000,106.048,106.049,105.118,105.2,42.529
SU26230RMFS1,D,27/08/21,000000,105.185,105.838,105.1,105.838,7.180
SU26230RMFS1,D,30/08/21,000000,106.048,106.048,105.452,105.506,14.906
SU26230RMFS1,D,31/08/21,000000,105.505,105.9,105.505,105.528,32.071
SU26230RMFS1,D,01/09/21,000000,106.045,106.045,105.53,105.749,1.048.218
