date,ticker,price
2020-02-26,ROSN,443.7
2020-02-26,RUAL,34.97
2020-02-26,SBER,250.8
2020-02-26,SU26218RMFS6,12037.8
2020-02-26,SU26221RMFS0,11386.5
2020-02-26,SU26222RMFS8,10618.4
2020-02-26,SU26224RMFS4,10720.0
2020-02-26,SU26230RMFS1,11627.2
2020-02-26,USD_RUB,64.9213
2020-02-26,VTBR,0.04723
2020-02-27,EUR_RUB,71.2439
2020-02-27,GAZP,217.5
2020-02-27,GMKN,212.38
2020-02-27,LKOH,6000.0
2020-02-27,MAGN,43.0
2020-02-27,MGNT,3345.0
2020-02-27,MOEX,104.73
2020-02-27,ROSN,422.05
2020-02-27,RUAL,32.6
2020-02-27,SBER,242.88
2020-02-27,SU26218RMFS6,11872.6
2020-02-27,SU26221RMFS0,11249.9
2020-02-27,SU26222RMFS8,10515.1
2020-02-27,SU26224RMFS4,10590.0
2020-02-27,SU26230RMFS1,11450.0
2020-02-27,USD_RUB,65.5177
2020-02-27,VTBR,0.04539
2020-02-28,EUR_RUB,71.6458
2020-02-28,GAZP,202.65
2020-02-28,GMKN,202.5
2020-02-28,LKOH,5699.5
2020-02-28,MAGN,39.985
2020-02-28,MGNT,3160.5
2020-02-28,MOEX,99.08
2020-02-28,ROSN,403.4
2020-02-28,RUAL,31.375
2020-02-28,SBER,233.36
2020-02-28,SU26218RMFS6,11650.0
2020-02-28,SU26221RMFS0,11032.5
2020-02-28,SU26222RMFS8,10431.199999999999
2020-02-28,SU26224RMFS4,10468.800000000001
2020-02-28,SU26230RMFS1,11209.9
2020-02-28,USD_RUB,65.6097
2020-02-28,VTBR,0.04333
2020-03-02,EUR_RUB,73.7235
2020-03-02,GAZP,198.78
2020-03-02,GMKN,201.6
2020-03-02,LKOH,5550.0
2020-03-02,MAGN,39.04
2020-03-02,MGNT,3201.0
2020-03-02,MOEX,99.73
2020-03-02,ROSN,394.5
2020-03-02,RUAL,30.405
2020-03-02,SBER,228.17
2020-03-02,SU26218RMFS6,11700.0
2020-03-02,SU26221RMFS0,11072.9
2020-03-02,SU26222RMFS8,10442.1
2020-03-02,SU26224RMFS4,10452.7
2020-03-02,SU26230RMFS1,11242.0
2020-03-02,USD_RUB,66.9909
2020-03-02,VTBR,0.043
2020-03-03,EUR_RUB,73.4178
2020-03-03,GAZP,201.48
2020-03-03,GMKN,207.14
2020-03-03,LKOH,5782.0
2020-03-03,MAGN,38.94
2020-03-03,MGNT,3150.0
2020-03-03,MOEX,98.08
2020-03-03,ROSN,406.0
2020-03-03,RUAL,31.49
2020-03-03,SBER,236.63
2020-03-03,SU26218RMFS6,11880.0
2020-03-03,SU26221RMFS0,11250.5
2020-03-03,SU26222RMFS8,10546.9
2020-03-03,SU26224RMFS4,10653.7
2020-03-03,SU26230RMFS1,11476.0
2020-03-03,USD_RUB,66.3274
2020-03-03,VTBR,0.043255
